CID;SMILES;SHBd;MLFER_S;nBase;maxsssN;MLFER_BH;minssNH;MDEN-23;MATS4e;ATSC1c;GATS4e;MATS1v;maxsCH3;MATS4m;MDEO-11;ETA_dEpsilon_D;MLFER_L;MATS1c;SdO;WTPT-3;AATSC4s;GATS1e;WTPT-4;WTPT-5;C1SP3;MATS4s;MDEN-22;AATS2i;MLFER_E;SpDiam_Dt;SHAvin;BCUTc-1h;SaaN;ETA_Beta_s;GATS6p;GATS6e;SpMin1_Bhp;MATS3s;AMR;GATS3c;JGI5;GATS1s;pIC50 AVG
49803313;CCC1=C(N=C(C(=N1)C(=O)N)NC2=CC(=C(C=C2)N3CCC(CC3)N4CCN(CC4)C)OC)NC5CCOCC5;1.192993206;4.505;2;2.660638788;4.419;3.293016207;1.155778225;0.118891977;-0.513874292;0.682976601;-0.024622371;2.203760381;-0.011010972;0;0.04886;23.103;-0.393215798;12.3276703;33.55380539;0.102298626;0.933363627;8.264936248;25.28886914;9;0.133174909;2.182247272;161.2646032;3.653;657.5664072;0;0.225375063;9.39022259;27.75;1.079256345;0.961738145;2.036189176;0.064455655;102.3172;1.118304377;0.027777778;0.746703129;9.462409073
49803040;CCC1=C(N=C(C(=N1)C(=O)N)NC2=CC(=C(C=C2)N3CCC(CC3)N4CCN(CC4)C)C)NC5CCOCC5;1.152190737;4.401;2;2.684076288;4.212;3.339127318;1.155778225;0.102747007;-0.469359249;0.696143411;-0.012950101;2.214177048;-0.029550068;0;0.0485;22.85;-0.412507169;12.29618882;30.70109257;0.093122522;0.935233169;5.439226774;25.26186579;10;0.127753452;2.182247272;160.5558817;3.639;644.1960057;0;0.225358771;9.416301656;26.75;1.020999728;0.842784477;2.038473862;0.056906664;100.5035;1.165329692;0.028601695;0.752976059;9.443697499
66642831;CCC1=C(N=C(C(=N1)C(=O)N)NC2=CC(=C(C=C2)N3CCN(CC3)C4CCN(CC4)C)C)NC5CCOCC5;1.154178696;4.401;2;2.685232304;4.212;3.337563532;1.192978172;0.102747007;-0.468899549;0.696143411;-0.012950101;2.222325196;-0.029550068;0;0.0485;22.85;-0.412059901;12.29564541;30.73405729;0.092226465;0.935233169;5.439226774;25.29483052;10;0.126524164;2.182247272;160.5558817;3.639;644.1960057;0;0.225358781;9.414736787;26.75;0.971032991;0.897261607;2.037961069;0.056906664;100.5035;1.164468463;0.028601695;0.752976059;9.431798276
49803312;CCC1=C(N=C(C(=N1)C(=O)N)NC2=CC=C(C=C2)N3CCC(CC3)N4CCN(CC4)C)NC5CCOCC5;1.184536416;4.425;2;2.677273567;4.216;3.298293985;1.155778225;0.112754713;-0.465315016;0.670931184;-0.013350688;2.211422227;-0.030759416;0;0.04996;22.374;-0.409693851;12.22925209;30.70954152;0.09431968;0.936495681;5.43930281;25.27023871;9;0.125771219;2.182247272;160.5678758;3.631;632.2595255;0;0.225352899;9.364206512;26.25;1.030514285;0.914893976;2.031758631;0.059945841;95.0014;1.161944035;0.028645833;0.741129029;9.292429824
49803314;CC(C)C1=C(N=C(C(=N1)C(=O)N)NC2=CC=C(C=C2)N3CCC(CC3)N4CCN(CC4)C)NC5CCOCC5;1.144128253;4.386;2;2.678014307;4.234;3.313127696;1.155778225;0.117587365;-0.467068042;0.679832565;-0.012950101;2.211883907;0.004648483;0;0.0485;22.645;-0.410256996;12.33592254;30.72752348;0.097990291;0.935233169;5.440310652;25.28721283;10;0.133865727;2.182247272;160.3596157;3.616;645.9987883;0;0.225359321;9.495641698;26.75;1.065243196;0.874832764;2.034721786;0.056454815;100.4589;1.162778716;0.032956685;0.759287526;9.251811973
72195453;CC1=C(SC2=NC=NC(=C12)NC3=C(NN=C3)C(=O)NC4=CC=C(C=C4)CN5CCN(CC5)C)C;1.381109597;4.277;2;2.460551799;3.528;2.973297956;1.064269883;0.180639395;-0.36146788;0.760142676;0.005226292;2.199741578;0.0057857;0;0.04253;20.098;-0.417294074;13.00213558;30.87374695;0.157256157;0.855353552;2.57610066;25.23861279;7;0.193842995;4.000913746;159.2418092;3.89;628.5525016;0;0.226801819;13.05211276;23.25;1.0140323;0.976697481;1.986451739;0.041372512;68.1233;1.086085689;0.018870773;0.616517791;9.239577517
49803311;CC1=C(C=CC(=C1)NC2=C(N=C(C(=N2)NC3CCC(CC3)O)Cl)C(=O)N)N4CCC(CC4)N5CCN(CC5)C;1.555657548;4.613;2;2.680369069;4.223;3.324958902;1.155778225;0.07496594;-0.574378149;0.719759283;0.008375928;2.211519677;0.027953227;0.090909091;0.06124;23.38;-0.463526831;12.22328548;32.69828753;0.076095334;0.911658471;4.952414593;25.17067035;7;0.080317916;2.182247272;159.5234828;3.903;654.9756298;0;0.247327653;9.334753311;26.75;1.016937472;0.922744581;2.032402921;0.022293623;98.5376;1.045497104;0.027534113;0.818552888;9.142667504
72194525;CN1CCN(CC1)CC2=CC=C(C=C2)NC(=O)C3=C(C=NN3)NC4=C5C=CSC5=NC=N4;1.440156665;4.325;2;2.457369637;3.536;2.952801557;1.064269883;0.174020286;-0.351812806;0.800407851;0.006057495;2.161686963;0.119366671;0;0.04563;19.146;-0.40678644;12.88108362;30.8813013;0.154608673;0.864956094;2.57605638;25.22762904;5;0.177319874;4.000913746;159.1046079;3.874;570.2458192;0;0.226836039;12.78851991;22.25;0.998627837;0.865290227;1.985970672;0.050504323;56.8887;1.038142446;0.015745257;0.598703846;9.01073213
124086185;CCC1=NC(=C(C=C1NC2CCOCC2)NC3=CC(=C(C=C3)N4CCC(CC4)N5CCN(CC5)C)OC)C(=O)N;1.061882095;4.2;2;2.667583232;4.336;3.404127318;0.863225972;0.08820399;-0.436277766;0.67247682;-0.014339453;2.207666631;-0.026723372;0;0.04795;22.79;-0.351104296;12.3676703;30.36630749;0.065827266;0.933430584;8.264936248;22.10137124;9;0.089145659;0.908560296;160.1423273;3.305;657.5664072;0;0.223806132;4.658700431;27.25;1.080093648;0.933614664;2.039365736;0.056350985;102.3172;1.109158487;0.027777778;0.750603029;8.974481653
137649953;CCC1=CC2=C(N=CN=C2S1)NC3=C(NN=C3)C(=O)NC4=CC=C(C=C4)CN5CCOCC5;1.415173698;4.238;1;2.367054244;3.203;2.951916783;0.609818708;0.120434749;-0.390397175;0.756412745;0.015404917;2.184121953;-0.004382268;0;0.04495;19.759;-0.418578176;12.9415187;30.73169879;0.141565084;0.851241369;5.578128964;22.0392174;6;0.156493687;4.000913746;157.0450801;3.779;604.7981153;0;0.226847807;12.97744924;22.5;0.977251923;0.958488801;1.980783414;0.042519772;58.7234;1.058701593;0.015432099;0.616619223;8.806875402
